ts,are_entities_super_near,are_entities_near_coll,is_throttle_not_positive,prop_eval
0,False,False,False,True
1,False,False,False,True
2,False,False,False,True
3,False,False,False,True
4,False,False,True,True
5,False,False,True,True
6,False,False,True,True
7,False,False,False,True
8,False,False,False,True
9,False,False,False,True
10,False,False,False,True
11,False,False,False,True
12,False,False,False,True
13,False,False,True,True
14,False,False,True,True
15,False,False,True,True
16,False,False,True,True
17,False,False,True,True
18,False,False,False,True
19,False,False,True,True
20,False,False,False,True
21,False,False,True,True
22,False,False,True,True
23,False,False,True,True
24,False,False,True,True
25,False,False,False,True
26,False,False,True,True
27,False,False,True,True
28,False,False,False,True
29,False,False,False,True
30,False,False,True,True
31,False,False,True,True
32,False,False,True,True
33,False,False,True,True
34,False,False,True,True
35,False,False,True,True
36,False,False,True,True
37,False,False,True,True
38,False,False,True,True
39,False,False,True,True
40,False,False,True,True
41,False,False,True,True
42,False,False,True,True
43,False,False,True,True
44,False,False,True,True
45,False,False,True,True
46,False,False,True,True
47,False,False,True,True
48,False,False,True,True
49,False,False,True,True
50,False,False,True,True
51,False,False,True,True
52,False,False,True,True
53,False,False,True,True
54,False,False,True,True
55,False,False,True,True
56,False,False,True,True
57,False,False,True,True
58,False,False,True,True
59,False,False,True,True
60,False,False,True,True
61,False,False,True,True
62,False,False,True,True
63,False,False,True,True
64,False,False,True,True
65,False,False,True,True
66,False,False,True,True
67,False,False,True,True
68,False,False,True,True
69,False,False,True,True
70,False,False,True,True
71,False,False,True,True
72,False,False,True,True
73,False,False,True,True
74,False,False,True,True
75,False,False,True,True
76,False,False,True,True
77,False,False,True,True
78,False,False,True,True
79,False,False,True,True
80,False,False,True,True
81,False,False,True,True
82,False,False,True,True
83,False,False,True,True
84,False,False,True,True
85,False,False,True,True
86,False,False,True,True
87,False,False,True,True
88,False,False,True,True
89,False,False,True,True
90,False,False,True,True
91,False,False,False,True
92,False,False,False,True
93,False,False,False,True
94,False,False,False,True
95,False,False,True,True
96,False,False,True,True
97,False,False,True,True
98,False,False,True,True
99,False,False,True,True
100,False,False,True,True
101,False,False,True,True
102,False,False,True,True
103,False,False,True,True
104,False,False,True,True
105,False,False,True,True
106,False,False,True,True
107,False,False,True,True
108,False,False,True,True
109,False,False,True,True
110,False,False,True,True
111,False,False,True,True
112,False,False,True,True
113,False,False,True,True
114,False,False,True,True
115,False,False,True,True
116,False,False,False,True
117,False,False,False,True
118,False,False,False,True
119,False,False,False,True
120,False,False,False,True
121,False,False,False,True
122,False,False,True,True
123,False,False,False,True
124,False,False,False,True
125,False,False,False,True
126,False,False,False,True
127,False,False,False,True
128,False,False,False,True
129,False,False,False,True
130,False,False,False,True
131,False,False,False,True
132,False,False,True,True
133,False,False,False,True
134,True,False,True,True
135,True,False,False,True
136,False,True,False,False
137,False,True,False,False
138,False,True,True,False
139,False,False,False,False
140,False,False,True,False
141,False,False,False,False
142,False,False,True,False
143,False,False,False,False
144,False,False,True,False
145,False,False,False,False
146,False,False,False,False
147,False,False,True,False
148,False,False,True,False
149,False,False,False,False
150,False,False,False,False
151,False,False,True,False
152,False,False,False,False
153,False,False,False,False
154,False,False,False,False
155,False,False,False,False
156,False,False,False,False
157,False,False,False,False
158,False,False,False,False
159,False,False,False,False
160,False,False,False,False
161,False,False,False,False
162,False,False,False,False
