ts,are_entities_near_coll,ego_is_faster_than_s,prop_eval
0,False,False,True
1,False,False,True
2,False,False,True
3,False,False,True
4,False,False,True
5,False,False,True
6,False,False,True
7,False,False,True
8,False,False,True
9,False,False,True
10,False,False,True
11,False,False,True
12,False,False,True
13,False,False,True
14,False,False,True
15,False,False,True
16,False,False,True
17,False,False,True
18,False,False,True
19,False,False,True
20,False,False,True
21,False,False,True
22,False,False,True
23,False,False,True
24,False,False,True
25,False,False,True
26,False,False,True
27,False,False,True
28,False,False,True
29,False,False,True
30,False,False,True
31,False,False,True
32,False,False,True
33,False,False,True
34,False,False,True
35,False,False,True
36,False,False,True
37,False,False,True
38,False,False,True
39,False,False,True
40,False,False,True
41,False,False,True
42,False,False,True
43,False,False,True
44,False,False,True
45,False,False,True
46,False,False,True
47,False,False,True
48,False,False,True
49,False,False,True
50,False,False,True
51,False,False,True
52,False,False,True
53,False,False,True
54,False,False,True
55,False,False,True
56,False,False,True
57,False,False,True
58,False,False,True
59,False,False,True
60,False,False,True
61,False,False,True
62,False,False,True
63,False,False,True
64,False,False,True
65,False,False,True
66,False,False,True
67,False,False,True
68,False,False,True
69,False,False,True
70,False,False,True
71,False,False,True
72,False,False,True
73,False,False,True
74,False,False,True
75,False,False,True
76,False,False,True
77,False,False,True
78,False,False,True
79,False,False,True
80,False,False,True
81,False,False,True
82,False,False,True
83,False,False,True
84,False,False,True
85,False,False,True
86,False,False,True
87,False,False,True
88,False,False,True
89,False,False,True
90,False,False,True
91,False,False,True
92,False,False,True
93,False,False,True
94,False,False,True
95,False,False,True
96,False,False,True
97,False,False,True
98,False,False,True
99,False,False,True
100,False,False,True
101,False,False,True
102,False,False,True
103,False,False,True
104,False,False,True
105,False,False,True
106,False,False,True
107,False,False,True
108,False,False,True
109,False,False,True
110,False,False,True
111,False,False,True
112,False,False,True
113,False,False,True
114,False,False,True
115,False,False,True
116,False,False,True
117,False,False,True
118,False,False,True
119,False,False,True
120,False,False,True
121,False,False,True
122,False,False,True
123,False,False,True
124,False,False,True
125,False,False,True
126,False,False,True
127,False,False,True
128,False,False,True
129,False,False,True
130,False,False,True
131,False,False,True
132,False,False,True
133,False,False,True
134,False,False,True
135,False,False,True
136,False,False,True
137,False,False,True
138,False,False,True
139,False,False,True
140,False,False,True
141,False,False,True
142,False,False,True
143,False,False,True
144,True,False,True
145,True,False,True
146,True,False,True
147,True,False,True
148,True,False,True
149,True,False,True
150,True,False,True
151,True,False,True
152,True,False,True
153,True,False,True
154,True,False,True
155,True,False,True
156,True,False,True
157,True,False,True
158,True,False,True
159,True,False,True
160,True,False,True
161,True,False,True
162,True,False,True
163,False,False,True
164,False,False,True
165,False,False,True
166,False,False,True
167,False,False,True
168,False,False,True
169,False,False,True
170,False,False,True
171,False,False,True
172,False,False,True
173,False,False,True
174,False,False,True
175,False,False,True
176,False,False,True
177,False,False,True
178,False,False,True
179,False,False,True
180,False,False,True
181,False,False,True
182,False,False,True
183,False,False,True
184,False,False,True
185,False,False,True
186,False,False,True
187,False,False,True
188,False,False,True
189,False,False,True
190,False,False,True
191,False,False,True
192,False,False,True
193,False,False,True
194,False,False,True
195,False,False,True
196,False,False,True
197,False,False,True
198,False,False,True
199,False,False,True
200,False,False,True
201,False,False,True
202,False,False,True
203,False,False,True
204,False,False,True
205,False,False,True
206,False,False,True
207,False,False,True
208,False,False,True
209,False,False,True
210,False,False,True
211,False,False,True
212,False,False,True
213,False,False,True
214,False,False,True
215,False,False,True
216,False,False,True
217,False,False,True
218,False,False,True
219,False,False,True
220,False,False,True
221,False,False,True
222,False,False,True
223,False,False,True
224,False,False,True
225,False,False,True
226,False,False,True
227,False,False,True
228,False,False,True
229,False,False,True
230,False,False,True
231,False,False,True
232,False,False,True
233,False,False,True
234,False,False,True
235,False,False,True
236,False,False,True
237,False,False,True
238,False,False,True
239,False,False,True
240,False,False,True
241,False,False,True
242,False,False,True
243,False,False,True
244,False,False,True
245,False,False,True
246,False,False,True
247,False,False,True
248,False,False,True
249,False,False,True
250,False,False,True
251,False,False,True
252,False,False,True
253,False,False,True
254,False,False,True
255,False,False,True
256,False,False,True
257,False,False,True
258,False,False,True
259,False,False,True
