ts,is_in_right_most_lane,is_in_junction,is_not_steering_right,prop_eval
0,True,False,True,True
1,True,False,True,True
2,True,False,True,True
3,True,False,True,True
4,True,False,True,True
5,True,False,True,True
6,True,False,False,False
7,True,False,False,False
8,True,False,False,False
9,True,False,False,False
10,True,False,False,False
11,True,False,False,False
12,True,False,False,False
13,True,False,False,False
14,True,False,False,False
15,True,False,False,False
16,True,False,False,False
17,True,False,False,False
18,True,False,False,False
19,True,False,False,False
20,True,False,False,False
21,True,False,False,False
22,True,False,False,False
23,True,False,False,False
24,True,False,False,False
25,True,False,False,False
26,True,False,False,False
27,True,False,False,False
28,True,False,False,False
29,True,False,False,False
30,True,False,False,False
31,True,False,False,False
32,True,False,False,False
33,True,False,False,False
34,True,False,False,False
35,True,False,False,False
36,True,False,False,False
37,True,False,False,False
38,True,False,False,False
39,True,False,False,False
40,True,False,False,False
41,True,False,False,False
42,True,False,False,False
43,True,False,False,False
44,True,False,False,False
45,True,False,False,False
46,True,False,False,False
47,True,False,False,False
48,True,False,False,False
49,True,False,False,False
50,True,False,False,False
51,True,False,False,False
52,True,False,False,False
53,True,False,False,False
54,True,False,False,False
55,True,False,False,False
56,True,False,False,False
57,True,False,False,False
58,True,False,False,False
59,True,False,False,False
60,True,False,False,False
61,True,False,False,False
62,True,False,False,False
63,True,False,False,False
64,True,False,False,False
65,True,False,False,False
66,True,False,False,False
67,True,False,False,False
68,True,False,False,False
69,True,False,False,False
70,True,False,False,False
71,True,False,False,False
72,True,False,False,False
73,True,False,False,False
74,True,False,False,False
75,True,False,False,False
76,True,False,False,False
77,True,False,False,False
78,True,False,False,False
79,True,False,False,False
80,True,False,False,False
81,True,False,False,False
82,True,False,False,False
83,True,False,False,False
84,True,False,False,False
85,True,False,False,False
86,True,False,False,False
87,True,False,False,False
88,True,False,False,False
89,True,False,False,False
90,True,False,False,False
91,True,False,False,False
92,True,True,False,False
93,True,True,False,False
94,True,True,False,False
95,True,True,False,False
96,True,True,False,False
97,True,True,False,False
98,True,True,False,False
99,True,True,True,False
100,True,True,True,False
101,False,True,True,False
102,False,True,True,False
103,False,True,True,False
104,False,True,False,False
105,False,True,False,False
106,False,True,False,False
107,True,True,True,False
108,True,True,True,False
109,True,True,True,False
110,True,True,True,False
111,True,True,True,False
112,True,True,True,False
113,True,True,False,False
114,True,False,False,False
115,True,False,False,False
116,True,False,False,False
117,True,False,False,False
118,True,False,False,False
119,True,False,False,False
120,True,False,False,False
121,True,False,False,False
122,True,False,True,False
123,True,False,True,False
124,True,False,True,False
125,True,False,True,False
126,True,False,True,False
127,True,False,True,False
128,True,False,False,False
129,True,False,True,False
130,True,False,False,False
131,True,False,False,False
132,True,False,False,False
133,True,False,False,False
134,True,False,True,False
135,True,False,True,False
136,True,False,True,False
137,True,False,True,False
138,True,False,True,False
139,True,False,False,False
140,True,False,False,False
141,True,False,False,False
142,True,False,False,False
143,True,False,True,False
144,True,False,False,False
145,True,False,False,False
146,True,False,False,False
147,True,False,False,False
148,True,False,False,False
149,True,False,False,False
150,True,False,False,False
151,True,False,False,False
152,True,False,False,False
153,True,False,False,False
154,True,False,False,False
155,True,False,False,False
156,True,False,False,False
157,True,False,False,False
158,True,False,False,False
159,True,False,False,False
160,True,False,False,False
161,True,False,False,False
162,True,False,False,False
163,True,False,False,False
164,True,False,False,False
165,True,False,False,False
166,True,False,False,False
167,True,False,False,False
168,True,False,False,False
169,True,False,False,False
170,True,False,False,False
171,True,False,False,False
172,True,False,False,False
173,True,False,False,False
174,True,False,False,False
175,True,False,False,False
176,True,False,False,False
177,True,False,False,False
178,True,False,False,False
179,True,False,False,False
180,True,False,False,False
181,True,False,False,False
182,True,False,False,False
183,True,False,False,False
184,True,False,False,False
185,True,False,False,False
186,True,False,False,False
187,True,False,False,False
188,True,False,False,False
189,True,False,False,False
190,True,False,False,False
191,True,False,False,False
192,True,False,False,False
193,True,False,False,False
194,True,False,False,False
195,True,False,False,False
196,True,False,False,False
197,True,False,False,False
198,True,False,False,False
199,True,False,False,False
200,True,False,False,False
201,True,False,False,False
202,True,False,False,False
