ts,are_entities_within_7m,are_red_traffic_lights_for_ego,are_stop_signs_for_ego,is_stopped,prop_eval
0,False,False,False,False,True
1,False,False,False,False,True
2,False,False,False,False,True
3,False,False,False,False,True
4,False,False,False,False,True
5,False,False,False,False,True
6,False,False,False,False,True
7,False,False,False,False,True
8,False,False,False,False,True
9,False,False,False,False,True
10,False,False,False,False,True
11,False,False,False,False,True
12,False,False,False,False,True
13,False,False,False,False,True
14,False,False,False,False,True
15,False,False,False,False,True
16,False,False,False,False,True
17,False,False,False,False,True
18,False,False,False,False,True
19,False,False,False,False,True
20,False,False,False,False,True
21,False,False,False,False,True
22,False,False,False,False,True
23,False,False,False,False,True
24,False,False,False,False,True
25,False,False,False,False,True
26,False,False,False,False,True
27,False,False,False,False,True
28,False,False,False,False,True
29,False,False,False,False,True
30,False,False,False,False,True
31,False,False,False,False,True
32,False,False,False,False,True
33,False,False,False,False,True
34,False,False,False,False,True
35,False,False,False,False,True
36,False,False,False,False,True
37,False,False,False,False,True
38,False,False,False,False,True
39,False,False,False,False,True
40,False,False,False,False,True
41,False,False,False,False,True
42,False,False,False,False,True
43,False,False,False,False,True
44,False,False,False,False,True
45,False,False,False,False,True
46,False,False,False,False,True
47,False,False,False,False,True
48,False,False,False,False,True
49,False,False,False,False,True
50,False,False,False,False,True
51,False,False,False,False,True
52,False,False,False,False,True
53,False,False,False,False,True
54,False,False,False,False,True
55,False,False,False,False,True
56,False,False,False,False,True
57,False,False,False,False,True
58,False,False,False,False,True
59,False,False,False,False,True
60,False,False,False,False,True
61,False,False,False,False,True
62,False,False,False,False,True
63,False,False,False,False,True
64,False,False,False,False,True
65,False,False,False,False,True
66,False,False,False,False,True
67,False,False,False,False,True
68,False,False,False,False,True
69,False,False,False,False,True
70,False,False,False,False,True
71,False,False,False,False,True
72,False,False,False,False,True
73,False,False,False,False,True
74,False,False,False,False,True
75,False,False,False,False,True
76,False,False,False,False,True
77,False,False,False,False,True
78,False,False,False,False,True
79,False,False,False,False,True
80,False,False,False,False,True
81,False,False,False,False,True
82,False,False,False,False,True
83,False,False,False,False,True
84,False,False,False,False,True
85,False,False,False,False,True
86,False,False,False,False,True
87,False,False,False,False,True
88,False,False,False,False,True
89,False,False,False,False,True
90,False,False,False,False,True
91,False,False,False,False,True
92,False,False,False,False,True
93,False,False,False,False,True
94,False,False,False,False,True
95,False,False,False,False,True
96,False,False,False,False,True
97,False,False,False,False,True
98,False,False,False,False,True
99,False,False,False,False,True
100,False,False,False,False,True
101,False,False,False,False,True
102,False,False,False,False,True
103,False,False,False,False,True
104,False,False,False,False,True
105,False,False,False,False,True
106,False,False,False,False,True
107,False,False,False,False,True
108,False,False,False,False,True
109,False,False,False,False,True
110,False,False,False,False,True
111,False,False,False,False,True
112,False,False,False,False,True
113,False,False,False,False,True
114,False,False,False,False,True
115,False,False,False,False,True
116,False,False,False,False,True
117,False,False,False,False,True
118,False,False,False,False,True
119,False,False,False,False,True
120,False,False,False,False,True
121,False,False,False,False,True
122,False,False,False,False,True
123,False,False,False,False,True
124,False,False,False,False,True
125,False,False,False,False,True
126,False,False,False,False,True
127,False,False,False,False,True
128,False,False,False,False,True
129,False,False,False,False,True
130,False,False,False,False,True
131,False,False,False,False,True
132,False,False,False,False,True
133,False,False,False,False,True
134,False,False,False,False,True
135,False,False,False,False,True
136,False,False,False,False,True
137,False,False,False,False,True
138,False,False,False,False,True
139,False,False,False,False,True
140,False,False,False,False,True
141,False,False,False,False,True
142,False,False,False,False,True
143,False,False,False,False,True
144,False,False,False,False,True
145,False,False,False,False,True
146,False,False,False,False,True
147,False,False,False,False,True
148,False,False,False,False,True
149,False,False,False,False,True
150,False,False,False,False,True
151,False,False,False,False,True
152,False,False,False,False,True
153,False,False,False,False,True
154,False,False,False,False,True
155,False,False,False,False,True
156,False,False,False,False,True
157,False,False,False,False,True
158,False,False,False,False,True
159,False,False,False,False,True
160,False,False,False,False,True
161,False,False,False,False,True
162,False,False,False,False,True
163,False,False,False,False,True
164,False,False,False,False,True
165,False,False,False,False,True
166,False,False,False,False,True
167,False,False,False,False,True
168,False,False,False,False,True
169,False,False,False,False,True
170,False,False,False,False,True
171,False,False,False,False,True
172,False,False,False,False,True
173,False,False,False,False,True
174,False,False,False,False,True
175,False,False,False,False,True
176,False,False,False,False,True
177,False,False,False,False,True
178,False,False,False,False,True
179,False,False,False,False,True
180,False,False,False,False,True
181,False,False,False,False,True
182,False,False,False,False,True
183,False,False,False,False,True
184,False,False,False,False,True
185,False,False,False,False,True
186,False,False,False,False,True
187,False,False,False,False,True
188,False,False,False,False,True
189,False,False,False,False,True
190,False,False,False,False,True
191,False,False,False,False,True
192,False,False,False,False,True
193,False,False,False,False,True
194,False,False,False,False,True
195,False,False,False,False,True
196,False,False,False,False,True
197,False,False,False,False,True
198,False,False,False,False,True
199,False,False,False,False,True
200,False,False,False,False,True
201,False,False,False,False,True
202,False,False,False,False,True
203,False,False,False,False,True
204,False,False,False,False,True
205,False,False,False,False,True
206,False,False,False,False,True
207,False,False,False,False,True
208,False,False,False,False,True
209,False,False,False,False,True
210,False,False,False,False,True
211,False,False,False,False,True
212,False,False,False,False,True
213,False,False,False,False,True
214,False,False,False,False,True
215,False,False,False,False,True
216,False,False,False,False,True
217,False,False,False,False,True
218,False,False,False,False,True
219,False,False,False,False,True
220,False,False,False,False,True
221,False,False,False,False,True
222,False,False,False,False,True
223,False,False,False,False,True
224,False,False,False,False,True
225,False,False,False,False,True
226,False,False,False,False,True
227,False,False,False,False,True
228,False,False,False,False,True
229,False,False,False,False,True
230,False,False,False,False,True
231,False,False,False,False,True
232,False,False,False,False,True
233,False,False,False,False,True
234,False,False,False,False,True
235,False,False,False,False,True
236,False,False,False,False,True
237,False,False,False,False,True
238,False,False,False,False,True
239,False,False,False,False,True
240,False,False,False,False,True
241,False,False,False,False,True
242,False,False,False,False,True
243,False,False,False,False,True
244,False,False,False,False,True
245,False,False,False,False,True
246,False,False,False,False,True
247,False,False,False,False,True
248,False,False,False,False,True
249,False,False,False,False,True
250,False,False,False,False,True
251,False,False,False,False,True
252,False,False,False,False,True
253,False,False,False,False,True
254,False,False,False,False,True
255,False,False,False,False,True
256,False,False,False,False,True
257,False,False,False,False,True
258,False,False,False,False,True
259,False,False,False,False,True
260,False,False,False,False,True
261,False,False,False,False,True
262,False,False,False,False,True
263,False,False,False,False,True
264,False,False,False,False,True
265,False,False,False,False,True
266,False,False,False,False,True
267,False,False,False,False,True
268,False,False,False,False,True
269,False,False,False,False,True
270,False,False,False,False,True
271,False,False,False,False,True
272,False,False,False,False,True
273,False,False,False,False,True
274,False,False,False,False,True
275,False,False,False,False,True
276,False,False,False,False,True
277,False,False,False,False,True
278,False,False,False,False,True
279,False,False,False,False,True
280,False,False,False,False,True
281,False,False,False,False,True
282,False,False,False,False,True
283,False,False,False,False,True
284,False,False,False,False,True
285,False,False,False,False,True
286,False,False,False,False,True
287,False,False,False,False,True
288,False,False,False,False,True
289,False,False,False,False,True
290,False,False,False,False,True
291,False,False,False,False,True
292,False,False,False,False,True
293,False,False,False,False,True
294,False,False,False,False,True
295,False,False,False,False,True
296,False,False,False,False,True
297,False,False,False,False,True
298,False,False,False,False,True
299,False,False,False,False,True
300,False,False,False,False,True
301,False,False,False,False,True
302,False,False,False,False,True
303,False,False,False,False,True
304,False,False,False,False,True
305,False,False,False,False,True
306,False,False,False,False,True
307,False,False,False,False,True
308,False,False,False,False,True
309,False,False,False,False,True
310,False,False,False,False,True
311,False,False,False,False,True
312,False,False,False,False,True
313,False,False,False,False,True
314,False,False,False,False,True
315,False,False,False,False,True
316,False,False,False,False,True
317,False,False,False,False,True
318,False,False,False,False,True
319,False,False,False,False,True
320,False,False,False,False,True
321,False,False,False,False,True
322,False,False,False,False,True
323,False,False,False,False,True
324,False,False,False,False,True
325,False,False,False,False,True
326,False,False,False,False,True
327,False,False,False,False,True
328,False,False,False,False,True
329,False,False,False,False,True
330,False,False,False,False,True
331,False,False,False,False,True
332,False,False,False,False,True
333,False,False,False,False,True
334,True,False,False,False,True
335,True,False,False,False,True
336,True,False,False,False,True
337,True,False,False,False,True
338,True,False,False,False,True
339,False,False,False,False,True
340,False,False,False,False,True
341,False,False,False,False,True
342,False,False,False,False,True
343,False,False,False,False,True
344,False,False,False,False,True
345,False,False,False,False,True
346,False,True,False,False,True
347,False,True,False,False,True
348,False,True,False,False,True
349,False,True,False,False,True
350,False,True,False,False,True
351,False,True,False,False,True
352,False,True,False,False,True
353,False,True,False,False,True
354,False,True,False,False,True
355,False,True,False,False,True
356,False,False,False,False,True
357,False,False,False,False,True
358,False,False,False,False,True
359,False,False,False,False,True
360,False,False,False,False,True
361,False,False,False,False,True
362,False,False,False,False,True
363,False,False,False,False,True
364,False,False,False,False,True
365,False,False,False,False,True
366,False,False,False,False,True
367,False,False,False,False,True
368,False,False,False,False,True
369,False,False,False,False,True
370,False,False,False,False,True
371,False,False,False,False,True
372,False,False,False,False,True
373,False,False,False,False,True
374,False,False,False,False,True
375,False,False,False,False,True
376,False,False,False,False,True
377,False,False,False,False,True
378,False,False,False,False,True
379,False,False,False,False,True
380,False,False,False,False,True
381,False,False,False,False,True
382,False,False,False,False,True
383,False,False,False,False,True
384,False,False,False,False,True
385,False,False,False,False,True
386,False,False,False,False,True
387,False,False,False,False,True
388,False,False,False,False,True
389,False,False,False,False,True
390,False,False,False,False,True
391,False,False,False,False,True
392,False,False,False,False,True
393,False,False,False,False,True
394,False,False,False,False,True
395,False,False,False,False,True
396,False,False,False,False,True
397,True,False,False,False,True
398,True,False,False,False,True
399,True,False,False,False,True
400,True,False,False,False,True
401,True,False,False,False,True
402,False,False,False,False,True
403,False,False,False,False,True
404,False,False,False,False,True
405,False,False,False,False,True
406,False,False,False,False,True
407,False,False,False,False,True
408,False,False,False,False,True
409,False,False,False,False,True
410,False,False,False,False,True
411,False,False,False,False,True
412,False,False,False,False,True
413,False,False,False,False,True
414,False,False,False,False,True
415,False,False,False,False,True
416,False,False,False,False,True
417,False,False,False,False,True
418,False,False,False,False,True
419,False,False,False,False,True
420,False,False,False,False,True
421,False,False,False,False,True
422,False,False,False,False,True
423,False,False,False,False,True
424,False,False,False,False,True
425,False,False,False,False,True
426,False,False,False,False,True
427,False,False,True,False,True
428,False,False,True,False,True
429,False,False,True,False,True
430,False,False,False,False,True
431,False,False,False,False,True
432,False,False,False,False,True
433,False,False,False,False,True
434,False,False,False,False,True
435,False,False,False,False,True
436,False,False,False,False,True
437,False,False,False,False,True
438,False,True,False,False,True
439,False,True,False,False,True
440,False,True,False,False,True
441,False,True,False,False,True
442,False,True,False,False,True
443,False,True,False,False,True
444,False,True,False,False,True
445,False,True,False,False,True
446,False,True,False,False,True
447,False,True,False,False,True
448,False,True,False,False,True
449,False,True,False,False,True
450,False,True,False,False,True
451,False,True,False,False,True
452,False,True,False,False,True
453,False,True,False,False,True
454,False,True,False,False,True
455,False,True,False,False,True
456,False,True,False,False,True
457,False,True,False,False,True
458,False,True,False,False,True
459,False,True,False,False,True
460,False,True,False,False,True
461,False,True,False,False,True
462,False,True,False,False,True
463,False,True,False,False,True
464,False,True,False,False,True
465,False,True,False,False,True
466,False,True,False,False,True
467,False,True,False,False,True
468,False,True,False,False,True
469,False,True,False,False,True
470,False,True,False,False,True
471,False,True,False,False,True
472,False,True,False,False,True
473,False,True,False,False,True
474,False,True,False,False,True
475,False,True,False,False,True
476,False,True,False,False,True
477,False,True,False,False,True
478,False,True,False,False,True
479,False,True,False,False,True
480,False,True,False,False,True
481,False,True,False,False,True
482,False,True,False,False,True
483,False,True,False,False,True
484,False,True,False,False,True
485,False,True,False,False,True
486,False,True,False,False,True
487,False,True,False,False,True
488,False,True,False,False,True
489,False,True,False,False,True
490,False,True,False,False,True
491,False,True,False,False,True
492,False,True,False,False,True
493,False,True,False,False,True
494,False,True,False,False,True
495,False,True,False,False,True
496,False,True,False,False,True
497,False,True,False,False,True
498,False,True,False,False,True
499,False,True,False,False,True
500,False,True,False,False,True
501,False,True,False,False,True
502,False,True,False,False,True
503,False,True,False,False,True
504,False,True,False,False,True
505,False,True,False,False,True
506,False,True,False,False,True
507,False,False,False,False,True
508,False,False,False,False,True
509,False,False,False,False,True
510,False,False,False,False,True
511,False,False,False,False,True
512,False,False,False,False,True
513,False,False,False,False,True
514,False,False,False,False,True
515,False,False,False,False,True
516,False,False,False,False,True
517,False,False,False,False,True
518,False,False,False,False,True
519,False,False,False,False,True
520,False,False,False,False,True
521,True,False,False,False,True
522,False,False,False,False,True
